,id_images,xmin,xmax,ymin,ymax,annot_V
0,0,0.4247619047619048,0.4780952380952381,0.4142857142857143,0.43714285714285717,V1
1,0,0.41333333333333333,0.4552380952380952,0.35714285714285715,0.3942857142857143,V1
2,0,0.35428571428571426,0.3980952380952381,0.7342857142857143,0.7657142857142857,V1
3,1,0.12660668380462725,0.15841902313624678,0.2699652777777778,0.30787037037037035,V1
4,1,0.2101542416452442,0.2422879177377892,0.625,0.6579861111111112,V1
5,1,0.29884318766066836,0.3531491002570694,0.8909143518518519,0.9198495370370371,V1
6,2,0.7468619246861925,0.7803347280334728,0.2,0.25869565217391305,V1
7,2,0.8242677824267782,0.8870292887029289,0.24782608695652175,0.30217391304347824,V1
8,2,0.6569037656903766,0.702928870292887,0.3782608695652174,0.4217391304347826,V1
9,2,0.6610878661087866,0.7154811715481172,0.5347826086956522,0.6,V1
10,2,0.5543933054393305,0.608786610878661,0.658695652173913,0.7260869565217392,V1
11,2,0.35564853556485354,0.4100418410041841,0.6847826086956522,0.7434782608695653,V1
12,2,0.4246861924686193,0.4686192468619247,0.6891304347826087,0.7326086956521739,V1
13,2,0.18828451882845187,0.2301255230125523,0.47608695652173916,0.5217391304347826,V1
14,2,0.13179916317991633,0.17573221757322174,0.35434782608695653,0.4152173913043478,V1
15,2,0.18200836820083682,0.20920502092050208,0.3565217391304348,0.4152173913043478,V1
16,2,0.2217573221757322,0.24686192468619247,0.3739130434782609,0.41304347826086957,V1
17,2,0.2217573221757322,0.26359832635983266,0.17173913043478262,0.23043478260869565,V1
18,2,0.7887029288702929,0.8368200836820083,0.18478260869565216,0.21739130434782608,V1
19,2,0.5146443514644351,0.5627615062761506,0.3282608695652174,0.3760869565217391,V1
20,2,0.7175732217573222,0.7677824267782427,0.6478260869565218,0.6869565217391305,V1
21,2,0.33472803347280333,0.38702928870292885,0.5217391304347826,0.5543478260869565,V1
22,2,0.3368200836820084,0.39330543933054396,0.24565217391304348,0.2956521739130435,V1
23,2,0.4581589958158996,0.5062761506276151,0.55,0.6,V1
24,2,0.3158995815899582,0.37656903765690375,0.34130434782608693,0.3978260869565217,V1
25,2,0.797071129707113,0.8493723849372385,0.41956521739130437,0.48478260869565215,V1
26,3,0.8258354755784062,0.8602185089974294,0.6004050925925926,0.6383101851851852,V1
27,3,0.7888817480719794,0.8332262210796915,0.7092013888888888,0.7601273148148148,V1
28,4,0.3775706940874036,0.45404884318766064,0.2899305555555556,0.3431712962962963,V1
29,5,0.5279562982005142,0.5819408740359897,0.6559606481481481,0.6935763888888888,V1
30,5,0.6410668380462725,0.6902313624678663,0.6203703703703703,0.6579861111111112,V1
31,5,0.7197943444730077,0.769280205655527,0.4852430555555556,0.5384837962962963,V1
32,6,0.5154241645244216,0.5449871465295629,0.8177083333333334,0.8423032407407407,V1
33,6,0.5501285347043702,0.6041131105398457,0.07060185185185185,0.10821759259259259,V1
34,7,0.7397172236503856,0.791452442159383,0.9152199074074074,0.9508101851851852,V1
35,8,0.39974293059125965,0.4440874035989717,0.8023726851851852,0.8686342592592593,V1
36,9,0.6362467866323908,0.6879820051413882,0.5627893518518519,0.6070601851851852,V1
37,10,0.4884318766066838,0.5449871465295629,0.7335069444444444,0.7777777777777778,V1
38,11,0.42705655526992287,0.461439588688946,0.2456597222222222,0.2899305555555556,V1
39,12,0.6558483290488432,0.714974293059126,0.6958912037037037,0.7511574074074074,V1
40,13,0.5911458333333334,0.65625,0.8382978723404255,0.8872340425531915,V1
41,13,0.2109375,0.2838541666666667,0.9404255319148936,0.9872340425531915,V1
42,13,0.2760416666666667,0.3515625,0.8361702127659575,0.8893617021276595,V1
43,14,0.7419665809768637,0.781491002570694,0.6469907407407407,0.6869212962962963,V1
44,14,0.3949228791773779,0.4318766066838046,0.8686342592592593,0.9131944444444444,V1
45,15,0.8136246786632391,0.852827763496144,0.5052083333333334,0.5517939814814815,V1
46,15,0.7863110539845758,0.8258354755784062,0.5604745370370371,0.6183449074074074,V1
47,15,0.6436375321336761,0.7001928020565553,0.7291666666666666,0.7734375,V1
48,16,0.7789203084832905,0.8184447300771208,0.5694444444444444,0.6226851851851852,V1
49,17,0.7271850899742931,0.769280205655527,0.2170138888888889,0.2589699074074074,V1
50,18,0.29884318766066836,0.34575835475578404,0.7401620370370371,0.7957175925925926,V1
51,18,0.13624678663239073,0.17834190231362468,0.6070601851851852,0.6669560185185185,V1
52,18,0.20790488431876605,0.24453727506426734,0.6603009259259259,0.7025462962962963,V1
53,19,0.3088046272493573,0.3480077120822622,0.6050347222222222,0.6559606481481481,V1
54,20,0.5106041131105399,0.5327763496143959,0.8423032407407407,0.8666087962962963,V1
55,20,0.47107969151670953,0.4958226221079691,0.6802662037037037,0.7002314814814815,V1
56,21,0.20533419023136246,0.23714652956298202,0.7401620370370371,0.7844328703703703,V1
57,21,0.714974293059126,0.7519280205655527,0.6846064814814815,0.7225115740740741,V1
58,22,0.4219151670951157,0.46368894601542415,0.7335069444444444,0.7757523148148148,V1
59,23,0.8676092544987146,0.9045629820051414,0.35648148148148145,0.4097222222222222,V1
60,24,0.4699570815450644,0.5107296137339056,0.9450757575757576,0.9621212121212122,V1
61,25,0.22975578406169667,0.2667095115681234,0.7358217592592593,0.7644675925925926,V1
62,25,0.14363753213367608,0.1879820051413882,0.6935763888888888,0.7245370370370371,V1
63,25,0.41966580976863754,0.461439588688946,0.8223379629629629,0.8553240740740741,V1
64,25,0.35539845758354754,0.39974293059125965,0.9065393518518519,0.9574652777777778,V1
65,26,0.13624678663239073,0.16580976863753213,0.3365162037037037,0.3810763888888889,V1
66,26,0.13624678663239073,0.19312339331619538,0.7311921296296297,0.7624421296296297,V1
67,26,0.2570694087403599,0.3036632390745501,0.6912615740740741,0.7311921296296297,V1
68,26,0.5427377892030848,0.587082262210797,0.8885995370370371,0.9398148148148148,V1
69,26,0.49325192802056556,0.5353470437017995,0.2456597222222222,0.2899305555555556,V1
70,27,0.23489717223650386,0.28406169665809766,0.6802662037037037,0.7268518518518519,V1
71,28,0.8505784061696658,0.9019922879177378,0.3611111111111111,0.4010416666666667,V1
72,29,0.32101542416452444,0.3627892030848329,0.7934027777777778,0.8310185185185185,V1
73,29,0.27924164524421596,0.32101542416452444,0.8376736111111112,0.8642939814814815,V1
74,29,0.25931876606683807,0.3184447300771208,0.8619791666666666,0.8776041666666666,V1
75,30,0.5106041131105399,0.5501285347043702,0.6912615740740741,0.7291666666666666,V1
76,30,0.5919023136246787,0.6336760925449871,0.7178819444444444,0.7445023148148148,V1
77,30,0.6436375321336761,0.6953727506426736,0.8266782407407407,0.8619791666666666,V1
78,31,0.48586118251928023,0.5475578406169666,0.8310185185185185,0.8619791666666666,V1
79,31,0.44183804627249357,0.4736503856041131,0.8509837962962963,0.8842592592592593,V1
80,31,0.5154241645244216,0.5597686375321337,0.8819444444444444,0.9198495370370371,V1
81,32,0.8653598971722365,0.9167737789203085,0.6137152777777778,0.6692708333333334,V1
82,32,0.5131748071979434,0.5671593830334191,0.8576388888888888,0.8975694444444444,V1
83,33,0.8701799485861182,0.907133676092545,0.49855324074074076,0.5538194444444444,V1
84,33,0.7101542416452442,0.7567480719794345,0.4409722222222222,0.47193287037037035,V1
